date,wind,rain,snow,temp_avg,temp_max,temp_min
04/08,nan,0.041666666666666664,0.0,72.92857142857143,91.42857142857143,53.111111111111114
04/09,nan,0.0,0.0,72.45,87.3,54.55555555555556
04/10,nan,0.017499999999999998,0.0,70.1875,88.125,52.4
04/11,nan,0.007692307692307693,0.0,70.27777777777777,87.0,54.2
04/12,nan,0.0,0.0,68.64285714285714,84.71428571428571,52.25
04/13,nan,0.0,0.0,67.8125,86.125,50.333333333333336
04/14,nan,0.004166666666666667,0.0,70.14285714285714,87.14285714285714,52.22222222222222
04/15,nan,0.0,0.0,73.71428571428571,87.28571428571429,50.5
04/16,nan,0.0,0.0,69.66666666666667,85.55555555555556,49.888888888888886
04/17,nan,0.0,0.0,67.625,84.875,50.333333333333336
04/18,nan,0.0,0.0,72.65,86.6,54.77777777777778
04/19,nan,0.0,0.0,71.88888888888889,90.11111111111111,55.0
04/20,nan,0.0,0.0,73.8125,91.625,51.625
04/21,nan,0.0,0.0,77.5,92.5,54.25
04/22,nan,0.0,0.0,76.27777777777777,93.88888888888889,54.0
04/23,nan,0.0,0.0,74.91666666666667,95.0,57.0
04/24,nan,0.025384615384615387,0.0,75.38888888888889,92.0,54.77777777777778
04/25,nan,0.0,0.0,78.77777777777777,92.11111111111111,59.42857142857143
04/26,nan,0.020833333333333332,0.0,74.75,90.5,57.44444444444444
04/27,nan,0.0025,0.0,75.9375,89.625,57.333333333333336
04/28,nan,0.0,0.0,75.25,92.66666666666667,58.22222222222222
04/29,nan,0.0007692307692307692,0.0,75.0,93.66666666666667,57.333333333333336
04/30,nan,0.0,0.0,74.14285714285714,91.71428571428571,56.55555555555556
05/01,nan,0.0,0.0,74.35714285714286,92.57142857142857,56.111111111111114
05/02,nan,0.0,0.0,74.5,89.875,59.9
05/03,nan,0.0,0.0,74.65,93.2,56.1
05/04,nan,0.08750000000000001,0.0,76.4375,95.625,57.6
05/05,nan,0.0025,0.0,82.27777777777777,96.55555555555556,59.625
05/06,nan,0.0,0.0,80.2,98.4,61.5
05/07,nan,0.0015384615384615385,0.0,74.83333333333333,90.16666666666667,59.4
05/08,nan,0.0,0.0,73.5,90.0,56.5
05/09,nan,0.020714285714285713,0.0,72.625,89.25,56.9
05/10,nan,0.002142857142857143,0.0,74.55,91.6,57.5
05/11,nan,0.0,0.0,78.125,93.75,59.333333333333336
05/12,nan,0.002142857142857143,0.0,76.42857142857143,94.14285714285714,58.77777777777778
05/13,nan,0.0,0.0,76.4,94.7,58.1
05/14,nan,0.0,0.0,79.07142857142857,96.85714285714286,60.666666666666664
05/15,nan,0.018571428571428572,0.0,81.5,97.42857142857143,60.44444444444444
05/16,nan,0.03769230769230769,0.0,76.9375,95.0,58.22222222222222
05/17,nan,0.0,0.0,76.0625,93.375,58.4
05/18,nan,0.006153846153846154,0.0,74.21428571428571,90.71428571428571,58.4
05/19,nan,0.0,0.0,76.66666666666667,94.16666666666667,58.6
05/20,nan,0.0007692307692307692,0.0,77.92857142857143,96.28571428571429,58.6
05/21,nan,0.0,0.0,75.35714285714286,93.42857142857143,58.7
05/22,nan,0.0,0.0,76.0,94.5,57.3
05/23,nan,0.005714285714285714,0.0,73.61111111111111,90.22222222222223,57.1
05/24,nan,0.0,0.0,75.125,93.625,57.1
05/25,nan,0.0,0.0,78.0,94.33333333333333,59.0
05/26,nan,0.0,0.0,80.78571428571429,96.14285714285714,60.111111111111114
05/27,nan,0.0,0.0,77.1875,95.125,58.2
05/28,nan,0.0,0.0,80.22222222222223,97.33333333333333,59.333333333333336
05/29,nan,0.0,0.0,82.33333333333333,99.33333333333333,61.888888888888886
